Date,Open,High,Low,Close,Adj Close,Volume
2018-01-29,239.000000,255.419998,219.610001,248.199997,248.199997,2502900
2018-02-05,245.000000,245.000000,219.130005,229.380005,229.380005,3359200
2018-02-12,232.149994,268.720001,225.500000,267.739990,267.739990,2746400
2018-02-19,267.899994,274.000000,261.239990,268.450012,268.450012,1997800
2018-02-26,270.519989,276.209991,258.100006,275.130005,275.130005,1792400
2018-03-05,274.519989,297.450012,273.179993,294.519989,294.519989,2308400
2018-03-12,295.649994,304.279999,289.269989,293.049988,293.049988,1912500
2018-03-19,291.269989,295.829987,282.119995,283.989990,283.989990,2303300
2018-03-26,288.029999,299.880005,276.200012,290.989990,290.989990,1663400
2018-04-02,291.429993,297.000000,274.230011,286.220001,286.220001,2182200
2018-04-09,289.089996,302.940002,287.709991,296.739990,296.739990,1811800
2018-04-16,298.000000,309.279999,294.279999,305.920013,305.920013,1923600
2018-04-23,305.899994,306.549988,277.010010,301.739990,301.739990,2801400
2018-04-30,303.279999,352.149994,298.170013,349.279999,349.279999,4347900
2018-05-07,348.299988,374.750000,339.750000,372.679993,372.679993,2764000
2018-05-14,370.869995,388.750000,368.140015,384.359985,384.359985,2870600
2018-05-21,387.279999,403.450012,378.510010,394.279999,394.279999,2466500
2018-05-28,388.649994,399.470001,375.000000,392.250000,392.250000,16771500
2018-06-04,395.609985,415.000000,392.369995,409.769989,409.769989,3564100
2018-06-11,409.769989,445.450012,408.459991,443.579987,443.579987,3579700
2018-06-18,440.089996,450.929993,426.989990,427.290009,427.290009,3907300
2018-06-25,420.739990,432.619995,398.000000,409.049988,409.049988,3885000
2018-07-02,407.000000,415.309998,392.200012,405.989990,405.989990,2242000
2018-07-09,407.880005,421.109985,399.179993,418.760010,418.760010,3472900
2018-07-16,419.329987,433.559998,417.059998,423.480011,423.480011,3579500
2018-07-23,423.500000,436.420013,360.220001,369.170013,369.170013,4657700
2018-07-30,365.910004,396.970001,344.109985,377.109985,377.109985,4885000
2018-08-06,376.160004,387.790009,371.209991,377.829987,377.829987,2180200
2018-08-13,377.670013,383.549988,353.670013,358.820007,358.820007,2203000
2018-08-20,358.269989,384.440002,354.519989,381.029999,381.029999,1971500
2018-08-27,384.000000,415.859985,378.339996,406.579987,406.579987,2494000
2018-09-03,402.059998,413.790009,375.290009,377.489990,377.489990,2126200
2018-09-10,381.269989,399.119995,378.570007,395.670013,395.670013,2199100
2018-09-17,395.600006,399.619995,366.910004,384.880005,384.880005,3738800
2018-09-24,381.029999,455.399994,378.000000,449.750000,449.750000,4425600
2018-10-01,452.899994,459.750000,405.480011,415.709991,415.709991,2992900
2018-10-08,414.170013,415.549988,363.630005,384.779999,384.779999,3992000
2018-10-15,383.779999,391.700012,360.630005,362.420013,362.420013,2803400
2018-10-22,363.019989,376.799988,317.000000,330.350006,330.350006,3664700
2018-10-29,331.390015,399.880005,313.399994,384.130005,384.130005,4478100
2018-11-05,385.850006,427.700012,379.510010,405.170013,405.170013,2931900
2018-11-12,388.989990,388.989990,301.119995,319.779999,319.779999,5331100
2018-11-19,316.029999,316.320007,280.829987,299.410004,299.410004,2630500
2018-11-26,301.399994,335.989990,295.200012,332.679993,332.679993,3609100
2018-12-03,339.619995,344.989990,310.579987,317.519989,317.519989,2130900
2018-12-10,317.899994,341.089996,312.029999,316.190002,316.190002,2009300
2018-12-17,312.570007,314.660004,275.489990,290.290009,290.290009,3959200
2018-12-24,286.040009,324.779999,274.019989,318.170013,318.170013,2035400
2018-12-31,320.299988,329.910004,293.660004,313.440002,313.440002,2363300
2019-01-07,313.500000,342.970001,305.559998,323.799988,323.799988,2981400
2019-01-14,321.899994,337.160004,314.059998,333.739990,333.739990,1943900
2019-01-21,333.549988,353.920013,330.850006,349.369995,349.369995,2195400
2019-01-28,348.899994,362.670013,326.480011,351.079987,351.079987,2746700
2019-02-04,349.179993,352.440002,316.380005,341.209991,341.209991,3489800
2019-02-11,343.519989,364.149994,342.549988,362.059998,362.059998,1767400
2019-02-18,361.769989,364.309998,351.769989,352.600006,352.600006,1415600
2019-02-25,354.279999,357.000000,332.420013,348.059998,348.059998,2197800
2019-03-04,348.220001,352.869995,305.369995,314.209991,314.209991,2280400
2019-03-11,313.130005,335.019989,310.980011,333.230011,333.230011,1537200
2019-03-18,334.679993,348.279999,322.869995,323.209991,323.209991,2163500
2019-03-25,321.299988,322.140015,272.170013,285.589996,285.589996,5979300
2019-04-01,290.010010,293.440002,275.359985,284.910004,284.910004,3347900
2019-04-08,285.399994,286.500000,267.600006,270.079987,270.079987,3481500
2019-04-15,271.450012,276.790009,244.080002,256.559998,256.559998,3650500
2019-04-22,255.699997,278.470001,254.500000,274.910004,274.910004,3952400
2019-04-29,275.429993,281.750000,228.000000,271.750000,271.750000,8824200
2019-05-06,265.820007,273.140015,251.089996,258.920013,258.920013,4040700
2019-05-13,251.000000,268.519989,248.729996,260.480011,260.480011,3707000
2019-05-20,258.179993,272.790009,252.009995,270.390015,270.390015,3697700
2019-05-27,269.809998,276.070007,259.489990,261.920013,261.920013,2569700
2019-06-03,260.760010,274.589996,257.980011,267.869995,267.869995,3096200
2019-06-10,269.609985,279.690002,249.520004,250.960007,250.960007,3343200
2019-06-17,251.639999,262.670013,250.220001,256.040009,256.040009,2467200
2019-06-24,256.059998,260.589996,251.000000,260.489990,260.489990,2300900
2019-07-01,263.089996,275.000000,257.630005,261.470001,261.470001,1657400
2019-07-08,261.029999,266.540009,253.449997,262.690002,262.690002,1967700
2019-07-15,263.190002,266.859985,253.399994,260.470001,260.470001,1669700
2019-07-22,260.700012,276.029999,260.700012,272.660004,272.660004,1979300
2019-07-29,271.980011,285.769989,197.009995,200.619995,200.619995,6827100
2019-08-05,207.179993,212.750000,181.020004,191.000000,191.000000,5245900
2019-08-12,188.669998,198.070007,187.429993,193.009995,193.009995,2897500
2019-08-19,195.000000,200.429993,188.679993,189.589996,189.589996,2240100
2019-08-26,190.809998,194.369995,188.050003,193.070007,193.070007,2044900
2019-09-02,192.080002,192.470001,180.000000,189.429993,189.429993,1779600
2019-09-09,190.160004,193.529999,183.080002,186.410004,186.410004,2577200
2019-09-16,185.000000,196.490005,182.580002,192.759995,192.759995,2613300
2019-09-23,192.470001,192.470001,174.440002,175.889999,175.889999,3034900
2019-09-30,175.789993,180.809998,159.399994,169.250000,169.250000,3183500
2019-10-07,167.020004,173.220001,155.020004,169.639999,169.639999,3861500
2019-10-14,169.580002,180.190002,169.300003,175.300003,175.300003,2704800
2019-10-21,177.029999,184.169998,170.580002,182.339996,182.339996,2754400
2019-10-28,183.759995,216.979996,177.750000,216.789993,216.789993,6041900
2019-11-04,218.080002,221.850006,213.250000,219.619995,219.619995,2802000
2019-11-11,217.839996,227.279999,216.910004,223.229996,223.229996,2071100
2019-11-18,216.850006,218.949997,172.089996,182.000000,182.000000,8451800
2019-11-25,182.000000,202.869995,181.220001,196.179993,196.179993,2994100
2019-12-02,196.270004,197.869995,187.399994,189.220001,189.220001,2283600
2019-12-09,189.300003,189.830002,175.250000,181.850006,181.850006,2958900
2019-12-16,179.089996,181.100006,162.250000,162.889999,162.889999,5488500
2019-12-23,164.089996,175.250000,161.669998,169.270004,169.270004,2302800
2019-12-30,169.690002,173.860001,165.240005,166.820007,166.820007,2875600
2020-01-06,166.529999,195.490005,166.020004,189.059998,189.059998,6082900
2020-01-13,166.500000,184.949997,155.770004,181.279999,181.279999,8321600
2020-01-20,182.580002,192.750000,180.740005,182.979996,182.979996,3073300
2020-01-27,179.110001,192.630005,178.000000,186.289993,186.289993,2805000
2020-02-03,186.449997,192.720001,184.850006,190.899994,190.899994,1035300
