Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
26-May-2020,51.95,53.00,51.95,53.00,52.300000000000000000,12000,6,627600.00,12000,100.00,1.05,1.05
22-May-2020,48.50,70.70,48.00,64.90,53.288888888888888888,18000,9,959200.00,12000,66.67,22.70,16.40
8-May-2020,64.20,64.20,59.00,59.00,61.600000000000000000,4000,2,246400.00,2000,50.00,5.20,-5.20
7-May-2020,56.75,70.00,55.75,56.00,57.469230769230769230,26000,13,1494200.00,16000,61.54,14.25,-0.75
6-May-2020,70.00,70.00,69.60,69.65,69.766666666666666666,6000,3,418600.00,4000,66.67,0.40,-0.35
5-May-2020,86.95,86.95,86.95,86.95,86.950000000000000000,2000,1,173900.00,2000,100.00,0.00,0.00
4-May-2020,50.75,72.95,50.75,72.95,61.850000000000000000,4000,2,247400.00,4000,100.00,22.20,22.20
1-April-2020,63.20,63.20,63.20,63.20,63.200000000000000000,2000,1,126400.00,2000,100.00,0.00,0.00
31-March-2020,78.90,78.90,78.80,78.80,78.825000000000000000,8000,4,630600.00,4000,50.00,0.10,-0.10
30-March-2020,98.50,98.50,98.50,98.50,98.500000000000000000,2000,1,197000.00,2000,100.00,0.00,0.00
27-March-2020,82.95,82.95,82.95,82.95,82.950000000000000000,2000,1,165900.00,2000,100.00,0.00,0.00
12-March-2020,73.00,73.00,71.00,71.00,72.000000000000000000,6000,3,432000.00,6000,100.00,2.00,-2.00
27-February-2020,75.25,75.25,75.00,75.00,75.162500000000000000,8000,4,601300.00,4000,50.00,0.25,-0.25
24-February-2020,73.00,89.95,73.00,89.95,81.475000000000000000,4000,2,325900.00,4000,100.00,16.95,16.95
11-February-2020,87.00,87.00,87.00,87.00,87.000000000000000000,2000,1,174000.00,2000,100.00,0.00,0.00
6-February-2020,86.00,86.00,86.00,86.00,86.000000000000000000,2000,1,172000.00,2000,100.00,0.00,0.00
4-February-2020,72.00,72.00,72.00,72.00,72.000000000000000000,4000,2,288000.00,4000,100.00,0.00,0.00
1-February-2020,66.05,74.50,66.05,74.50,70.275000000000000000,4000,2,281100.00,4000,100.00,8.45,8.45
